NodeID,ResourceName,ResourceType,Chance,ToolRequired,ToolEssential,Winter,Spring,Summer,Autumn,Notes
1001,Beetle,Animal,100,Net,0,0.3,1,1,1,
1001,Fly,Animal,100,Net,1,0.3,1,1,1,
1001,Rose,Botanical,50,Shears,1,0,0.5,1,1,
1001,Snail,Animal,70,NULL,0,0.3,1,1,1,
1001,Sunflower,Botanical,50,Shears,1,0,0.5,1,0.5,
1002,Angels Bonnet,Botanical,50,Knife,0,0,0,0,1,
1002,Beech,Botanical,10,Saw,1,0.5,0.7,1,1,
1002,Birch,Botanical,10,Saw,1,0.5,0.7,1,1,
1002,Foxglove,Botanical,50,Shears,0,0,0.5,1,1,
1002,Moss,Botanical,70,Knife,0,0,0,1,1,
1002,Pleated Ink Cap,Botanical,50,Knife,0,0,0,0,1,
1002,Rabbit,Animal,50,Snare,1,0.3,1,1,0.5,
1002,Yellow Morel,Botanical,50,Knife,0,0,0,0,1,
1003,Bulrush,Botanical,50,Shears,1,0,0.5,1,1,
1003,Clay,Element,100,Spade,1,0,0.5,1,1,
1003,Musk Mallow,Botanical,50,NULL,0,0,0.5,1,0,
1003,Spring Water,Water,100,Bucket,1,0,1,1,1,
1003,Vervain,Botanical,50,Shears,0,0,0.5,1,1,
1004,Cat,Animal,70,Trap,0,1,1,1,1,
1004,Hawthorn,Botanical,50,Saw,1,0.5,0.7,1,1,
1004,Rat,Animal,100,Trap,1,1,1,1,1,
1005,Common Puffball,Botanical,50,Knife,0,0,0,0.5,1,
1005,Daisy,Botanical,70,NULL,0,0,1,1,0,
1005,Forget Me Not,Botanical,70,NULL,0,0,1,1,0,
1005,Giant Puffball,Botanical,50,Shears,0,0,0,0.5,1,
1005,Grass,Botanical,70,Shears,0,0,1,1,1,
1005,Mouse,Animal,70,Trap,1,0.3,1,1,0.5,
1005,Worm,Animal,70,NULL,0,0,1,1,1,
1006,Black Morel,Botanical,50,Knife,0,0,0,0,1,
1006,Death Cap,Botanical,50,Knife,0,0,0,0,1,
1006,Oak,Botanical,10,Saw,1,0.5,0.7,1,1,
1006,Spider,Animal,70,Net,0,0.5,1,1,1,
1006,Spider Silk,Crafting,70,Silk pin,0,0.5,1,1,1,
1007,Chia,Botanical,50,Shears,1,0,0,1,1,
1007,Crow,Animal,70,Snare,1,1,1,1,1,
1007,Dirt,Mineral,100,Spade,0,1,1,1,1,
1007,Straw,Crafting,100,Knife,0,1,1,1,1,
2001,Bat,Animal,70,Trap,1,0.3,0.5,1,1,
2001,Bulrush,Botanical,50,Shears,1,0,0.5,1,1,
2001,Clay,Element,100,Spade,1,0,0.5,1,1,
2001,Fly,Animal,100,Net,1,0.3,1,1,1,
2001,Moss,Botanical,70,Knife,0,0,0,1,1,
2001,Reed,Crafting,50,Shears,1,0,0.5,1,1,
2001,Rockrose,Botanical,100,NULL,0,0,1,1,0,
2001,Spring Water,Water,100,Bucket,1,0,1,1,1,
2002,Daisy,Botanical,70,NULL,0,0,1,1,0,
2002,Forget Me Not,Botanical,70,NULL,0,0,1,1,0,
2002,Grass,Botanical,70,Shears,0,0,1,1,1,
2002,Mouse,Animal,70,Trap,1,0.3,1,1,0.5,
2002,Worm,Animal,70,NULL,0,0,1,1,1,
2003,Bat,Animal,70,Trap,1,0.3,0.5,1,1,
2003,Death Cap,Botanical,50,Knife,0,0,0,0,1,
2003,Nightshade,Botanical,50,Shears,0,0,0.5,1,0.5,
2003,Oak,Botanical,10,Saw,1,0.5,0.7,1,1,
2003,Pine,Botanical,10,Saw,1,1,1,1,1,
2003,Shaggy Ink Cap,Botanical,50,Knife,0,0,0,0,1,
2003,Spider,Animal,70,Net,0,0.5,1,1,1,
2003,Spider Silk,Crafting,70,Silk pin,0,0.5,1,1,1,
2003,Vine,Crafting,30,Shears,1,0,0.5,1,1,
2004,Amethyst,Mineral,100,Pick,1,1,1,1,1,
2004,Haematite,Mineral,100,Pick,1,1,1,1,1,
2004,Quartz,Mineral,100,Pick,1,1,1,1,1,
2005,Newt,Animal,50,Net,1,0,1,1,0.5,
2005,Reed,Crafting,50,Shears,1,0,0.5,1,1,
2005,Toad,Animal,50,Net,1,0,1,1,0.5,
2005,Well Water,Water,100,Bucket,1,1,1,1,1,
2006,Granite,Mineral,40,Pick,1,1,1,1,1,
2006,Limestone,Mineral,90,Pick,1,1,1,1,1,
2006,Lodestone,Mineral,10,Pick,1,1,1,1,1,
2006,Marble,Mineral,50,Pick,1,1,1,1,1,
2006,Rockrose,Botanical,100,NULL,0,0,1,1,0,
2006,Sandstone,Mineral,100,Pick,1,1,1,1,1,
2007,Cat,Animal,70,Trap,0,1,1,1,1,
2007,Hawthorn,Botanical,50,Saw,1,0.5,0.7,1,1,
2007,Rat,Animal,100,Trap,1,1,1,1,1,
3001,Fly,Animal,100,Net,1,0.3,1,1,1,
3001,Moss,Botanical,70,Knife,0,0,0,1,1,
3001,Musk Mallow,Botanical,50,NULL,0,0,0.5,1,0,
3001,Rockrose,Botanical,100,NULL,0,0,1,1,0,
3001,Spring Water,Water,100,Bucket,1,0,1,1,1,
3001,Vervain,Botanical,50,Shears,0,0,0.5,1,1,
