NodeID,LocationType,LocationName,Description
1001,Woodland,Clearing,
1002,Woodland,Woodland,
1003,Woodland,Stream,
1004,Woodland,Village,
1005,Woodland,Meadow,
1006,Woodland,Forest,
1007,Woodland,Farm,
2001,Valley,Stream,
2002,Valley,Meadow,
2003,Valley,Forest,
2004,Valley,Cave,
2005,Valley,Pond,
2006,Valley,Quarry,
2007,Valley,Village,
3001,Plain,Stream,
3002,Plain,Village,
3003,Plain,Farm,
3004,Plain,Meadow,
3005,Plain,Mine,
3006,Plain,Forest,
4001,Coastal,Coast,
4002,Coastal,Forest,
4003,Coastal,Pond,
4004,Coastal,Market,
4005,Coastal,Mine,
